close notes,resolver grp,summary
"Issue Identification: Memory Utilization on GBVVSMS4 is : 99 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %
We have more free memory in the server,Linux Support,Alert: Memory Utilization on infdemo-ora01 is in Critical
"Issue Identification: CPU Utilization on AUS-BI02 is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on AUS-BI02 is Critical	
Now the utilization is normal. Reset email generated. ,Linux Support,Alert: Memory Utilization on tcmprd-ws05.tcmis.com is warning
Alert reset - issue detected as resolved by Orion,Windows Support,ALERT: DISK SPACE on TXAU-SQL1902-G:\ Label:Backups 941DA743 has currently 14 % is available
"Issue Identification: Memory Utilization on GBVVSCL3 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on aus-esx13.haasgroupintl.com is Warning	
"Issue Identification: Memory Utilization on GBVVSHR0 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSHR0 is : 94 %
Now the utilization is normal. Reset email generated.,Linux Support,Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is warning
"Issue Identification: Memory Utilization on GBDVSMS0 is : 96 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBDVSMS0 is : 96 %
"Node status: Up
Node: GBVVSFS3
Node Description: Windows 2016 Server
IP Address: 10.224.40.115


This issue occurred on Thursday, June 2, 2022 7:46 AM CT.
",Windows Support, NODE ALERT: GBVVSFS3 is Down
Now the utilization is normal.,Linux Support,Alert: Memory Utilization on infdemo-ora01 is in Critical
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on usauitadmust01 is Critical	
"Services are up and running.
CPU Utilization is normal.",JDE CNC Technical,Alert: Memory Utilization on GJDEWEB01 is in warning
"Issue Identification: CPU Utilization on AUS-MCL01 is Warning	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	
Now the utilization is normal. Reset email generated. ,Linux Support,Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is warning
Now the utilization is normal. Reset email generated. ,Linux Support,Alert: Memory Utilization on tcmdev-ws01.tcmis.com is warning
"Issue Identification: ALERT:  DISK SPACE on XA6530-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6530-C:\ Label: 88E6AF70 has currently 20 % is available
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on AUS-BI02 is Warning	
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down
"Issue Identification: ALERT:DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-ADMT01 is Critical	
Now the utilization is normal. Reset email generated.,Linux Support,Alert: Memory Utilization on tcmprd-haasr06.tcmis.com is warning
"We archived the log file, Now the utilization is normal  ",Linux Support,ALERT: Disk utilization on tcmtm-ws01.haasgroupintl.com is Warning
"Issue Identification: ALERT:DISK SPACE on XA6526-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6526-C:\ Label: 88E6AF70 has currently 20 % is available
"Issue Identification: ALERT: DISK SPACE on XA6511-C:\ Label: 88E6AF70 has currently 19 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6511-C:\ Label: 88E6AF70 has currently 19 % is available
"We restarted the application, Now it is UP and running.",Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws05.tcmis.com is Down
Now the utilization is normal. Reset email generated. ,Linux Support,Alert: Memory Utilization on apexprd-wlogic01.haasgroupintl.com is warning
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on ADAVIIS01 is Critical	
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB05 is in a current state of: Critical
Issue has been resolved without action. Alert reset - issue detected as resolved by Orion,Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB05 is Critical	
"
Application: SQL Components 

Application Component: SQL Server (MSSQLSERVER)

Application State: Up

Node Name : GBDVSMS0

IP Address: 10.224.96.180

Component Statistic Data
",MS SQL Database Support,Warning ALERT:  SQL Components component  on GBDVSMS0 shows Warning
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Warning Alert: Memory Utilization on VALDC01 is : 94 %
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Alert: CPU Utilization on GJDEWEB05 is Critical
"We archived the log file, Now the utilization is normal  ",Linux Support,ALERT: Disk utilization on tcmtm03-ws01.haasgroupintl.com is Warning
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: MX-CHI2-4351-R01.wescoaircraft.com is Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: WAN Interface Unreachable on MX-CHI2-4351-R01.wescoaircraft.com
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: WAN Interface Unreachable on MX-CHI2-4351-R01.wescoaircraft.com
Server is up now.,Windows Support,ESX ALERT: MXCH-ESX02.wescohq.com is Down
Resolution notes copied from Parent Incident: Server is up now.,Windows Support,ESX ALERT: MXCH-ESX01.wescohq.com is Down
Resolution notes copied from Parent Incident: Server is up now.,Windows Support, NODE ALERT: CHIHUAHUA-DC01 is Down
Server is up now,Windows Support, NODE ALERT: MXCH-FILE01 is Down
Server is up now,Windows Support, NODE ALERT: MXCVSDC0 is Down
Resolution notes copied from Parent Incident: Server is up now.,Windows Support, NODE ALERT: MXCH-DC01 is Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: WAN OUTAGE 12 on MX-CHI2-4351-R02.wescoaircraft.com
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: WAN OUTAGE 12 on MX-CHI2-4351-R02.wescoaircraft.com
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB03 is Warning	
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Warning Alert: Memory Utilization on VALDC01 is : 96 %
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on GBVVSML0 is Critical	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: MX-CHI2-9300-MDF-S01.wescoaircraft.com is Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: WAN OUTAGE 12 on MX-CHI2-4351-R01.wescoaircraft.com
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: WAN OUTAGE 12 on MX-CHI2-4351-R01.wescoaircraft.com
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on usauitadmust01 is Critical	
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB08 is Critical	
"Issue Identification: Memory Utilization on USAZSCCMCAS01 is : 96 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the SQL  it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 96 %
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 1 - CRITICAL ALERT: MX-CHI2-2960X-MDF-S01.wescoaircraft.com is Down
Alert reset - issue detected as resolved by Orion.,Service Desk,TIER 1 - CRITICAL ALERT: MX-CHI2-2960X-MDF-S02.wescoaircraft.com is Down
"Issue Identification: Memory Utilization on GBVFSMO0 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB03 is Critical	
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB03 is in a current state of: Critical
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on GJDEWEB03 is Critical
"Application: Distributed File System (DFS) 

Application Component: Service: DFS Namespace(Up), Service: DFS Replication(Up), DFS Replication State(Up), DFS Volume State(Up), Warning: Failed to Contact Configuration on DC(Up), Warning: Staging Space above High Watermark(Up), Warning: Failed to Clean Old Staging Data(Up), Warning: Staging Space above Staging Quota(Up), Warning: File Prevented from Replication(Up), Warning: No Configured Connections for Replication Folder(Up), Error: Failed to Contact DC(Up), Error: Replication Stopped(Up), Error: File Changed on Multiple Servers(Up), Error: Communication with Partner(Up), Error: Host Unreachable(Up), Error: Partner Didn't Recognize the Connection(Up), Error: Connection with Partner Removed or Disabled(Up), Error: Invalid Local Path to Replication Folder(Up), Warning: No Free Space for Replication(Up), DFS Replication(Up) 

Application State: Up

Node: LON-DFS01

Node Description: Windows 2012 R2 Server

IP Address: 192.168.152.59

This issue occurred on Friday, June 3, 2022 2:31 AM CT.
",Windows Support,Critical ALERT:  A Distributed File System (DFS) component  on LON-DFS01 is in a current state of: Down
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: ITEST2.WESCOHQ.COM is Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted
"Web instances are working fine and CPU utilization is normal after restart .
QC passed successfully. I am resolving the incident now.
Please reopen the incident if further assistance is needed.",JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted
Now the utilization is normal. Reset email generated. ,Linux Support,Alert: Memory Utilization on apexprd-ora01.haasgroupintl.com is warning
